NaN	-4	-3	-2	-1	0	1	2	3	4
0.00013566	0.97036	1.0301	1.0039	1.0001	1.0001	1.0001	0.999	0.98145	1.0335
0.00013666	0.99538	1.0171	1.0066	1.0001	1.0001	0.99997	0.99729	0.99409	1.0089
0.00013767	1.0198	1.0001	1.0047	1.0002	1.0001	1	0.99775	1.0073	0.98514
0.00013867	1.0366	0.98669	1.0004	1.0002	1.0001	1.0001	0.99968	1.0146	0.96978
0.00013968	1.0427	0.98201	0.99804	1.0001	1.0001	1.0002	1.0013	1.0141	0.96577
0.00014068	1.0364	0.98749	0.99908	1.0001	1.0001	1.0002	1.0017	1.0072	0.97396
0.00014169	1.0199	0.99929	1.0014	1.0001	1.0001	1.0002	1.0009	0.99859	0.99096
0.00014269	1.0001	1.0098	1.0024	1.0001	1.0001	1.0001	0.99987	0.99314	1.009
0.0001437	0.98245	1.0145	1.0014	1.0001	1.0001	1.0001	0.99922	0.99259	1.0227
0.0001447	0.97444	1.0099	0.99995	1.0001	1.0001	1.0001	0.9994	0.99686	1.0251
0.00014571	0.97723	1.0015	0.99968	1.0001	1.0001	1.0001	0.99993	1.0017	1.018
0.00014671	0.98851	0.99413	1.0003	1.0001	1.0001	1.0002	1.0004	1.0048	1.0053
0.00014772	1.0044	0.99295	1.0009	1.0001	1.0001	1.0002	1.0005	1.0043	0.99243
0.00014872	1.0165	0.9977	1.0006	1.0001	1.0001	1.0001	1.0003	1.0015	0.98624
0.00014972	1.021	1.0037	1.0001	1.0001	1.0001	1.0001	1	0.99865	0.98733
0.00015073	1.0159	1.0068	0.99995	1.0001	1.0001	1.0001	0.99985	0.99733	0.99494
0.00015173	1.0042	1.0045	1.0002	1.0001	1.0001	1.0001	0.99991	0.99816	1.004
0.00015274	0.99292	1.0001	1.0004	1.0001	1.0001	1.0001	1	0.99989	1.0097
0.00015374	0.98711	0.99716	1.0003	1.0001	1.0001	1.0001	1.0001	1.0013	1.0098
0.00015475	0.98987	0.99818	1.0001	1.0001	1.0001	1.0001	1.0002	1.0015	1.0048
0.00015575	0.99838	1.0013	1.0001	1.0001	1.0001	1.0001	1.0001	1.0007	0.99863
0.00015676	1.0075	1.0034	1.0002	1.0001	1.0001	1.0001	1	0.99969	0.99457
0.00015776	1.0111	1.0025	1.0002	1.0001	1.0001	1.0001	1	0.99921	0.99479
0.00015877	1.0086	1.0002	1.0001	1.0001	1.0001	1.0001	1	0.99934	0.99788
0.00015977	1.0012	0.99888	1.0001	1.0001	1.0001	1.0001	1.0001	0.99991	1.0019
0.00016078	0.99511	0.99988	1.0001	1.0001	1.0001	1.0001	1.0001	1.0003	1.0039
0.00016178	0.99375	1.0013	1.0001	1.0001	1.0001	1.0001	1.0001	1.0004	1.0034
0.00016279	0.99753	1.0018	1.0001	1.0001	1.0001	1.0001	1.0001	1.0002	1.001
